,Latitude,Longitude,BirthDate,BirthDateTime,SeasonRegressionEncoding,SeasonFrankHalEncodingSpring,SeasonFrankHalEncodingSummer,SeasonFrankHalEncodingFall,sunriseTimeRaw,sunsetTimeRaw,moonPhase,precipIntensityMax,precipProbability,precipTypeRaw,temperatureHigh,temperatureLow,dewPoint,humidity,windSpeed,cloudCover,uvIndex,visibility,sunriseTimeMinute,sunsetTimeMinute,dayDuration,temperatureChange,PrecipType_None,PrecipType_rain,PrecipType_snow
985,33.584396,-97.66174,1546733720,2019-01-06 00:15:20,0,0,0,0,1546695420.0,1546731480.0,0.0,0.0,0.0,None,71.49,42.99,33.81,0.55,3.71,0.0,3.0,9.958,817.0,1418.0,601.0,28.499999999999993,1,0,0
987,38.17423,-122.99692,1541874857,2018-11-10 18:34:17,3,1,1,1,1541861340.0,1541898300.0,0.12,0.0,0.0,None,61.64,42.29,30.2,0.49,3.84,0.59,3.0,2.628,889.0,1505.0,616.0,19.35,1,0,0
990,45.11146,-92.541466,1535453037,2018-08-28 10:43:57,2,1,1,0,1535455740.0,1535504220.0,0.58,0.0201,0.99,rain,63.19,49.01,58.92,0.91,5.13,0.93,4.0,8.4,689.0,1497.0,808.0,14.18,0,1,0
991,31.88246,-106.985565,1539082342,2018-10-09 10:52:22,3,1,1,1,1539090480.0,1539132240.0,0.03,0.0,0.0,None,68.41,42.14,39.03,0.6,7.34,0.38,7.0,9.708,788.0,1484.0,696.0,26.269999999999996,1,0,0
992,29.701092,-88.63525,1515108690,2018-01-04 23:31:30,0,0,0,0,1515070320.0,1515107400.0,0.62,0.0,0.0,None,47.2,46.08,24.82,0.48,20.02,0.09,4.0,9.997,772.0,1390.0,618.0,1.1200000000000045,1,0,0
994,38.61537,-96.84514,1547689785,2019-01-17 01:49:45,0,0,0,0,1547646240.0,1547681520.0,0.35,0.0076,0.68,snow,32.6,28.06,29.02,1.0,5.76,1.0,2.0,2.085,824.0,1412.0,588.0,4.540000000000003,0,0,1
997,39.92741,-92.6336,1519548879,2018-02-25 08:54:39,0,0,0,0,1519563060.0,1519603140.0,0.35,0.0,0.0,None,50.02,27.21,24.73,0.64,6.94,0.06,5.0,9.997,771.0,1439.0,668.0,22.810000000000002,1,0,0
999,34.943413,-118.335075,1532565999,2018-07-26 00:46:39,2,1,1,0,1532523540.0,1532574180.0,0.45,0.0,0.0,None,99.27,73.2,46.65,0.26,10.64,0.04,11.0,9.989,779.0,1623.0,844.0,26.069999999999993,1,0,0
1000,32.76097,-101.3403,1540233281,2018-10-22 18:34:41,3,1,1,1,1540212960.0,1540253160.0,0.45,0.0,0.0,None,67.76,53.96,46.84,0.69,6.54,0.23,6.0,9.997,776.0,1446.0,670.0,13.800000000000004,1,0,0
1002,33.883057,-83.85034,1516942694,2018-01-26 04:58:14,0,0,0,0,1516883880.0,1516921200.0,0.29,0.0,0.0,None,57.08,26.65,24.37,0.58,1.16,0.0,4.0,6.48,758.0,1380.0,622.0,30.43,1,0,0
1005,39.97587,-91.59664,1544309627,2018-12-08 22:53:47,0,0,0,0,1544275020.0,1544308980.0,0.06,0.0,0.0,None,30.68,16.7,13.68,0.67,3.92,0.02,2.0,9.988,797.0,1363.0,566.0,13.98,1,0,0
1007,48.19688,-89.777374,1534987483,2018-08-23 01:24:43,2,1,1,0,1534935900.0,1534986120.0,0.4,0.0,0.0,None,78.26,55.5,48.66,0.62,4.73,0.38,6.0,10.0,665.0,1502.0,837.0,22.760000000000005,1,0,0
1008,34.97709,-96.66352,1525159402,2018-05-01 07:23:22,1,1,0,0,1525174620.0,1525223580.0,0.57,0.0,0.0,None,76.51,69.24,60.6,0.71,9.37,0.83,5.0,9.997,697.0,1513.0,816.0,7.27000000000001,1,0,0
1012,36.931732,-107.84434,1540881660,2018-10-30 06:41:00,3,1,1,1,1540906500.0,1540945080.0,0.73,0.0075,0.3,rain,56.67,34.3,33.74,0.59,5.96,0.73,4.0,9.862,815.0,1458.0,643.0,22.370000000000005,0,1,0
1013,30.444448,-94.279724,1525404242,2018-05-04 03:24:02,1,1,0,0,1525347180.0,1525395480.0,0.63,0.0,0.0,None,85.34,70.63,69.7,0.78,2.85,0.85,6.0,9.997,693.0,1498.0,805.0,14.710000000000008,1,0,0
1016,41.287067,-105.14735,1529537997,2018-06-20 23:39:57,2,1,1,0,1529494140.0,1529548680.0,0.27,0.0047,0.07,rain,63.46,43.67,43.6,0.69,8.73,0.33,9.0,3.895,689.0,1598.0,909.0,19.79,0,1,0
1017,41.8887,-84.95903,1528587747,2018-06-09 23:42:27,2,1,1,0,1528538760.0,1528593300.0,0.86,0.4375,0.86,rain,75.24,60.38,64.4,0.85,5.55,0.86,6.0,7.74,606.0,1515.0,909.0,14.859999999999992,0,1,0
1020,37.493134,-104.255875,1526884492,2018-05-21 06:34:52,1,1,0,0,1526903100.0,1526954760.0,0.25,0.0098,0.33,rain,74.72,51.77,45.45,0.62,10.14,0.32,11.0,6.686,705.0,1566.0,861.0,22.949999999999996,0,1,0
1022,32.62562,-85.72145,1529798624,2018-06-24 00:03:44,2,1,1,0,1529750280.0,1529801700.0,0.37,0.002,0.17,rain,89.02,72.43,74.2,0.83,3.61,0.57,10.0,9.123,638.0,1495.0,857.0,16.58999999999999,0,1,0
1027,41.777737,-122.61295,1544319784,2018-12-09 01:43:04,0,0,0,0,1544282820.0,1544316060.0,0.06,0.0028,0.28,snow,47.2,31.34,32.39,0.82,1.93,0.49,2.0,9.168,927.0,1481.0,554.0,15.860000000000003,0,0,1
1028,43.891357,-91.24875,1515310513,2018-01-07 07:35:13,0,0,0,0,1515332400.0,1515365100.0,0.72,0.0,0.0,None,35.39,25.11,12.64,0.63,8.88,0.76,1.0,9.915,820.0,1365.0,545.0,10.280000000000001,1,0,0
1029,44.15835,-93.90229,1542467668,2018-11-17 15:14:28,3,1,1,1,1542460500.0,1542494940.0,0.33,0.0,0.0,None,24.66,-3.44,12.61,0.79,9.78,0.68,2.0,9.311,795.0,1369.0,574.0,28.1,1,0,0
1030,32.690254,-102.79622,1535202227,2018-08-25 13:03:47,2,1,1,0,1535199780.0,1535246760.0,0.49,0.0462,0.22,rain,97.27,68.7,57.25,0.45,8.88,0.15,10.0,9.984,743.0,1526.0,783.0,28.569999999999993,0,1,0
1032,43.514496,-109.31569,1536148221,2018-09-05 11:50:21,3,1,1,1,1536151620.0,1536198420.0,0.86,0.0,0.0,None,76.71,43.56,32.22,0.44,5.93,0.11,7.0,9.997,767.0,1547.0,780.0,33.14999999999999,1,0,0
1034,32.48159,-106.54225,1519779348,2018-02-28 00:55:48,0,0,0,0,1519738620.0,1519779780.0,0.43,0.0,0.0,None,60.22,37.04,13.58,0.23,9.78,0.12,7.0,9.997,817.0,1503.0,686.0,23.18,1,0,0
1036,34.49262,-86.87206,1545116457,2018-12-18 07:00:57,0,0,0,0,1545137400.0,1545172860.0,0.37,0.0,0.0,None,56.77,34.77,32.84,0.74,2.61,0.06,3.0,9.758,770.0,1361.0,591.0,22.0,1,0,0
1037,35.681236,-86.42731,1548663931,2019-01-28 08:25:31,0,0,0,0,1548679800.0,1548717000.0,0.79,0.0065,0.48,rain,57.2,23.42,33.11,0.7,8.22,0.46,4.0,9.931,770.0,1390.0,620.0,33.78,0,1,0
1039,49.139908,-121.1758,1524511583,2018-04-23 19:26:23,1,1,0,0,1524488280.0,1524539400.0,0.3,0.0027,0.12,rain,65.31,38.29,29.73,0.57,5.36,0.0,7.0,8.996,778.0,1630.0,852.0,27.020000000000003,0,1,0
1040,42.308052,-82.29639,1530518201,2018-07-02 07:56:41,2,1,1,0,1530525480.0,1530580260.0,0.65,0.0,0.0,None,90.49,65.55,70.9,0.67,8.07,0.43,8.0,8.996,598.0,1511.0,913.0,24.939999999999998,1,0,0
1042,29.580475,-92.16533,1532505695,2018-07-25 08:01:35,2,1,1,0,1532517960.0,1532567220.0,0.45,0.0,0.0,None,92.46,75.8,69.59,0.65,6.88,0.12,8.0,9.997,686.0,1507.0,821.0,16.659999999999997,1,0,0
1043,43.451424,-108.74304,1525551012,2018-05-05 20:10:12,1,1,0,0,1525521780.0,1525573380.0,0.69,0.0,0.0,None,69.27,42.48,34.78,0.45,4.83,0.24,9.0,9.997,723.0,1583.0,860.0,26.79,1,0,0
1044,38.112602,-108.14695,1545609038,2018-12-23 23:50:38,0,0,0,0,1545575280.0,1545609540.0,0.55,0.0,0.0,None,38.54,24.91,2.0,0.39,4.25,0.5,2.0,6.476,868.0,1439.0,571.0,13.629999999999999,1,0,0
1047,42.310764,-90.20593,1524648588,2018-04-25 09:29:48,1,1,0,0,1524654300.0,1524704040.0,0.36,0.0,0.0,None,62.24,35.49,35.3,0.51,5.53,0.14,9.0,9.191,665.0,1494.0,829.0,26.75,1,0,0
1052,43.45434,-93.87166,1529714226,2018-06-23 00:37:06,2,1,1,0,1529663760.0,1529719260.0,0.34,0.0028,0.33,rain,77.68,57.77,58.71,0.74,3.31,0.41,8.0,9.784,636.0,1561.0,925.0,19.910000000000004,0,1,0
1053,29.393427,-97.79638,1545478128,2018-12-22 11:28:48,0,0,0,0,1545484980.0,1545521940.0,0.51,0.0,0.0,None,77.16,45.65,38.04,0.56,4.56,0.0,4.0,9.997,803.0,1419.0,616.0,31.509999999999998,1,0,0
1054,31.91315,-106.99257,1541457778,2018-11-05 22:42:58,3,1,1,1,1541424540.0,1541463360.0,0.95,0.0,0.0,None,75.21,49.46,32.11,0.34,8.07,0.0,5.0,9.997,809.0,1456.0,647.0,25.749999999999993,1,0,0
1056,35.29229,-95.57296,1552284908,2019-03-11 06:15:08,1,1,0,0,1552308000.0,1552350420.0,0.17,0.0425,0.78,rain,62.13,50.01,43.83,0.78,3.11,0.5,6.0,9.314,760.0,1467.0,707.0,12.120000000000005,0,1,0
1057,44.975746,-118.38797,1552354018,2019-03-12 01:26:58,1,1,0,0,1552313700.0,1552355700.0,0.17,0.0015,0.06,snow,38.79,23.64,15.73,0.75,4.77,0.0,5.0,9.997,855.0,1555.0,700.0,15.149999999999999,0,0,1
1058,42.221123,-90.41879,1518409503,2018-02-12 04:25:03,0,0,0,0,1518354240.0,1518391800.0,0.88,0.017,0.82,snow,19.38,-8.23,7.04,0.78,4.5,0.45,3.0,5.958,784.0,1410.0,626.0,27.61,0,0,1
1061,41.452366,-103.78828,1547320582,2019-01-12 19:16:22,0,0,0,0,1547302860.0,1547336880.0,0.22,0.0082,0.77,snow,36.98,14.79,23.87,0.9,4.27,0.23,2.0,9.943,861.0,1428.0,567.0,22.189999999999998,0,0,1
1063,34.88478,-98.93847,1527821778,2018-06-01 02:56:18,2,1,1,0,1527765900.0,1527817500.0,0.58,0.0,0.0,None,97.5,74.08,67.81,0.59,12.41,0.02,11.0,9.997,685.0,1545.0,860.0,23.42,1,0,0
1068,28.770403,-95.669075,1518063880,2018-02-08 04:24:40,0,0,0,0,1518008880.0,1518048480.0,0.76,0.1173,0.88,rain,49.45,42.96,48.42,0.97,12.2,0.99,4.0,5.576,788.0,1448.0,660.0,6.490000000000002,0,1,0
1069,43.99081,-88.25846,1527711794,2018-05-30 20:23:14,1,1,0,0,1527675360.0,1527730140.0,0.55,0.1073,0.98,rain,76.49,65.16,64.32,0.84,5.85,0.53,5.0,8.968,616.0,1529.0,913.0,11.329999999999998,0,1,0
1073,44.566326,-90.79817,1519526100,2018-02-25 02:35:00,0,0,0,0,1519476600.0,1519515960.0,0.32,0.0305,1.0,snow,34.79,18.5,19.38,0.89,5.46,0.62,3.0,4.574,770.0,1426.0,656.0,16.29,0,0,1
1075,40.778893,-94.25726,1525294194,2018-05-02 20:49:54,1,1,0,0,1525259700.0,1525310100.0,0.6,0.6068,0.78,rain,78.96,58.45,62.72,0.87,9.83,0.77,6.0,4.642,675.0,1515.0,840.0,20.50999999999999,0,1,0
1078,44.87561,-87.77202,1543191889,2018-11-26 00:24:49,3,1,1,1,1543150980.0,1543184160.0,0.61,0.0017,0.47,snow,35.47,24.88,23.43,0.69,7.91,0.96,1.0,9.997,783.0,1336.0,553.0,10.59,0,0,1
1079,44.661926,-107.90232,1544163495,2018-12-07 06:18:15,0,0,0,0,1544106960.0,1544139180.0,0.99,0.0,0.0,None,28.63,-1.03,-1.56,0.51,3.38,0.04,1.0,9.997,876.0,1413.0,537.0,29.66,1,0,0
1081,31.780643,-85.26425,1529038248,2018-06-15 04:50:48,2,1,1,0,1528972620.0,1529023740.0,0.05,0.2383,1.0,rain,89.25,71.52,72.73,0.87,2.54,0.39,9.0,9.534,637.0,1489.0,852.0,17.730000000000004,0,1,0
1082,46.20244,-91.95167,1536156648,2018-09-05 14:10:48,3,1,1,1,1536147300.0,1536194460.0,0.86,0.0682,1.0,rain,71.44,37.53,55.02,0.76,5.45,0.57,5.0,8.979,695.0,1481.0,786.0,33.91,0,1,0
1086,45.82849,-111.626114,1543538901,2018-11-30 00:48:21,3,1,1,1,1543502820.0,1543535160.0,0.76,0.001,0.1,snow,41.78,14.58,21.76,0.79,0.69,0.33,1.0,10.0,887.0,1426.0,539.0,27.200000000000003,0,0,1
1088,33.504166,-81.24737,1540573908,2018-10-26 17:11:48,3,1,1,1,1540554000.0,1540593600.0,0.58,0.3183,1.0,rain,54.48,49.53,49.11,0.92,7.77,1.0,3.0,7.834,700.0,1360.0,660.0,4.949999999999996,0,1,0
1093,41.56389,-105.9048,1554565974,2019-04-06 15:52:54,1,1,0,0,1554554340.0,1554600900.0,0.06,0.0023,0.5,rain,51.69,33.36,25.27,0.49,11.22,0.38,6.0,1.684,759.0,1535.0,776.0,18.33,0,1,0
1094,36.768185,-79.18318,1551841122,2019-03-06 02:58:42,1,1,0,0,1551786180.0,1551827760.0,0.98,0.0,0.0,None,45.07,25.49,14.97,0.46,5.47,0.45,5.0,9.997,703.0,1396.0,693.0,19.580000000000002,1,0,0
1096,33.457253,-89.54201,1553941175,2019-03-30 10:19:35,1,1,0,0,1553946600.0,1553991480.0,0.84,0.0245,0.76,rain,74.84,41.64,56.32,0.82,8.28,0.81,6.0,9.635,710.0,1458.0,748.0,33.2,0,1,0
1099,32.439304,-116.92448,1523722996,2018-04-14 16:23:16,1,1,0,0,1523712000.0,1523758680.0,0.97,0.0,0.0,None,84.77,54.98,20.46,0.16,5.58,0.0,10.0,9.268,800.0,1578.0,778.0,29.79,1,0,0
1101,31.72714,-83.2599,1543978515,2018-12-05 02:55:15,0,0,0,0,1543925940.0,1543962600.0,0.93,0.0012,0.11,rain,59.4,37.7,39.67,0.66,5.52,0.0,3.0,9.997,739.0,1350.0,611.0,21.699999999999996,0,1,0
1108,38.861702,-102.53966,1525482461,2018-05-05 01:07:41,1,1,0,0,1525434600.0,1525484820.0,0.66,0.0,0.0,None,72.76,39.4,35.84,0.55,7.97,0.21,8.0,1.111,710.0,1547.0,837.0,33.36000000000001,1,0,0
1109,39.636127,-89.36279,1546900349,2019-01-07 22:32:29,0,0,0,0,1546867140.0,1546901400.0,0.06,0.0294,0.82,rain,58.05,40.04,47.35,0.86,14.61,0.36,2.0,9.609,799.0,1370.0,571.0,18.009999999999998,0,1,0
1111,40.31071,-109.99741,1555114825,2019-04-13 00:20:25,1,1,0,0,1555073220.0,1555120560.0,0.26,0.0129,0.75,snow,48.01,26.38,28.02,0.74,4.4,0.61,9.0,9.755,767.0,1556.0,789.0,21.63,0,0,1
1112,46.181393,-83.49007,1524326318,2018-04-21 15:58:38,1,1,0,0,1524307020.0,1524357000.0,0.22,0.0,0.0,None,51.64,27.36,20.03,0.48,3.52,0.0,8.0,9.997,637.0,1470.0,833.0,24.28,1,0,0
1113,30.80844,-81.49602,1518521400,2018-02-13 11:30:00,0,0,0,0,1518523800.0,1518563580.0,0.94,0.0031,0.08,rain,58.64,51.04,56.38,0.97,8.16,0.98,3.0,3.441,730.0,1393.0,663.0,7.600000000000001,0,1,0
1114,45.434067,-88.34877,1547775597,2019-01-18 01:39:57,0,0,0,0,1547731740.0,1547764800.0,0.38,0.0,0.0,None,21.79,-4.45,6.75,0.83,1.42,0.69,1.0,7.382,809.0,1360.0,551.0,26.24,1,0,0
1116,38.511997,-99.37799,1544277404,2018-12-08 13:56:44,0,0,0,0,1544276640.0,1544311080.0,0.06,0.0,0.0,None,37.82,18.0,18.05,0.74,2.85,0.07,2.0,9.374,824.0,1398.0,574.0,19.82,1,0,0
1118,32.10476,-99.28437,1515115244,2018-01-05 01:20:44,0,0,0,0,1515073200.0,1515109620.0,0.62,0.0,0.0,None,51.88,26.01,19.65,0.54,4.1,0.01,3.0,9.997,820.0,1427.0,607.0,25.87,1,0,0
1120,46.978786,-94.52315,1539239449,2018-10-11 06:30:49,3,1,1,1,1539261120.0,1539301200.0,0.1,0.0047,0.39,snow,30.63,21.51,25.92,0.88,7.93,1.0,2.0,8.489,752.0,1420.0,668.0,9.119999999999997,0,0,1
1121,34.763416,-77.907745,1520186928,2018-03-04 18:08:48,1,1,0,0,1520163480.0,1520205060.0,0.61,0.0,0.0,None,55.04,31.95,27.22,0.51,2.82,0.0,6.0,9.997,698.0,1391.0,693.0,23.09,1,0,0
1122,38.636803,-100.777405,1522659180,2018-04-02 08:53:00,1,1,0,0,1522672020.0,1522717680.0,0.59,0.0,0.0,None,78.71,35.24,27.51,0.54,10.26,0.0,8.0,9.997,747.0,1508.0,761.0,43.46999999999999,1,0,0
1124,34.27778,-117.60474,1546609113,2019-01-04 13:38:33,0,0,0,0,1546613880.0,1546649700.0,0.97,0.0,0.0,None,44.62,29.59,16.67,0.52,3.52,0.02,3.0,9.377,898.0,1495.0,597.0,15.029999999999998,1,0,0
1126,38.882694,-77.160576,1529873724,2018-06-24 20:55:24,2,1,1,0,1529833560.0,1529887140.0,0.4,0.0559,0.71,rain,87.2,68.98,69.24,0.81,3.22,0.44,8.0,4.904,586.0,1479.0,893.0,18.22,0,1,0
1127,44.107883,-118.83952,1516010907,2018-01-15 10:08:27,0,0,0,0,1516030080.0,1516063440.0,0.97,0.0,0.0,None,44.35,30.85,29.49,0.83,4.08,0.09,2.0,9.997,928.0,1484.0,556.0,13.5,1,0,0
1129,32.870407,-81.170105,1516671258,2018-01-23 01:34:18,0,0,0,0,1516623960.0,1516661340.0,0.19,0.0,0.0,None,72.69,62.06,50.33,0.82,3.66,0.4,3.0,9.997,746.0,1369.0,623.0,10.629999999999995,1,0,0
1132,48.564865,-114.5068,1535640683,2018-08-30 14:51:23,2,1,1,0,1535633640.0,1535682360.0,0.65,0.0,0.0,None,72.61,42.62,36.23,0.49,3.84,0.47,6.0,9.997,774.0,1586.0,812.0,29.990000000000002,1,0,0
1136,45.23249,-95.51392,1525782550,2018-05-08 12:29:10,1,1,0,0,1525777320.0,1525829880.0,0.78,0.076,0.85,rain,73.08,54.79,52.91,0.65,10.26,0.52,7.0,9.913,662.0,1538.0,876.0,18.29,0,1,0
1137,34.286728,-120.17582,1525535942,2018-05-05 15:59:02,1,1,0,0,1525525680.0,1525574940.0,0.69,0.0,0.0,None,74.46,53.32,52.08,0.7,7.24,0.29,10.0,8.768,788.0,1609.0,821.0,21.139999999999993,1,0,0
1142,40.119053,-103.58167,1529339502,2018-06-18 16:31:42,2,1,1,0,1529321160.0,1529375280.0,0.2,0.0472,0.41,rain,79.22,58.34,56.62,0.78,8.68,0.69,8.0,4.301,686.0,1588.0,902.0,20.879999999999995,0,1,0
1147,37.17236,-97.44816,1531221325,2018-07-10 11:15:25,2,1,1,0,1531221600.0,1531273980.0,0.92,0.0,0.0,None,95.31,71.74,67.99,0.61,2.89,0.17,8.0,9.981,680.0,1553.0,873.0,23.570000000000007,1,0,0
1148,48.150448,-93.49552,1522812872,2018-04-04 03:34:32,1,1,0,0,1522756140.0,1522802880.0,0.62,0.0,0.0,None,22.68,1.14,-6.15,0.39,5.33,0.32,6.0,10.0,709.0,1488.0,779.0,21.54,1,0,0
1150,32.25961,-94.889824,1536769052,2018-09-12 16:17:32,3,1,1,1,1536753780.0,1536798660.0,0.12,0.1231,0.94,rain,83.48,70.47,72.3,0.9,3.81,0.9,4.0,7.102,723.0,1471.0,748.0,13.010000000000005,0,1,0
1152,39.678368,-76.47122,1524412893,2018-04-22 16:01:33,1,1,0,0,1524392340.0,1524441120.0,0.26,0.0,0.0,None,64.56,41.04,31.83,0.45,1.48,0.28,8.0,9.917,619.0,1432.0,813.0,23.520000000000003,1,0,0
1154,33.676155,-78.74053,1546536002,2019-01-03 17:20:02,0,0,0,0,1546518060.0,1546554000.0,0.94,0.0289,1.0,rain,63.94,57.03,59.67,0.99,4.21,1.0,2.0,5.458,741.0,1340.0,599.0,6.909999999999997,0,1,0
1155,35.26691,-99.43531,1533113304,2018-08-01 08:48:24,2,1,1,0,1533124080.0,1533174180.0,0.66,0.0,0.0,None,89.29,70.0,57.13,0.53,5.0,0.29,9.0,9.985,708.0,1543.0,835.0,19.290000000000006,1,0,0
1156,38.45739,-121.74152,1530178565,2018-06-28 09:36:05,2,1,1,0,1530190020.0,1530243360.0,0.53,0.0,0.0,None,86.53,57.87,51.63,0.55,6.12,0.01,11.0,9.029,767.0,1656.0,889.0,28.660000000000004,1,0,0
1157,32.289272,-101.97746,1525034014,2018-04-29 20:33:34,1,1,0,0,1525003440.0,1525051680.0,0.5,0.0,0.0,None,86.17,63.1,48.21,0.44,16.08,0.01,11.0,9.874,724.0,1528.0,804.0,23.07,1,0,0
1158,49.389088,-103.2791,1526310664,2018-05-14 15:11:04,1,1,0,0,1526296320.0,1526351400.0,0.99,0.0,0.0,None,74.06,44.73,30.5,0.35,9.03,0.4,7.0,10.0,672.0,1590.0,918.0,29.330000000000005,1,0,0
1161,34.293953,-115.81661,1524852130,2018-04-27 18:02:10,1,1,0,0,1524833940.0,1524882300.0,0.44,0.0,0.0,None,89.94,54.54,20.69,0.16,9.33,0.0,11.0,9.976,779.0,1585.0,806.0,35.4,1,0,0
1162,41.11632,-95.31469,1527327871,2018-05-26 09:44:31,1,1,0,0,1527332160.0,1527385440.0,0.42,0.0016,0.15,rain,98.29,63.3,60.6,0.54,2.92,0.04,10.0,9.47,656.0,1544.0,888.0,34.99000000000001,0,1,0
1173,36.7782,-101.15198,1534154472,2018-08-13 10:01:12,2,1,1,0,1534161720.0,1534210800.0,0.1,0.0914,0.58,rain,88.5,64.45,59.87,0.65,8.08,0.17,10.0,9.672,722.0,1540.0,818.0,24.049999999999997,0,1,0
1175,43.730232,-107.61464,1528815444,2018-06-12 14:57:24,2,1,1,0,1528803000.0,1528858440.0,0.97,0.0,0.0,None,74.46,45.74,30.44,0.41,7.16,0.0,11.0,9.997,690.0,1614.0,924.0,28.71999999999999,1,0,0
1178,37.48169,-87.9671,1523739329,2018-04-14 20:55:29,1,1,0,0,1523704740.0,1523752020.0,0.97,0.0834,0.41,rain,66.87,41.17,58.02,0.85,6.83,0.87,8.0,9.087,679.0,1467.0,788.0,25.700000000000003,0,1,0
1186,41.85209,-87.1701,1534812093,2018-08-21 00:41:33,2,1,1,0,1534763040.0,1534812180.0,0.34,0.586,1.0,rain,78.54,67.74,67.15,0.8,8.08,0.49,6.0,9.133,664.0,1483.0,819.0,10.800000000000011,0,1,0
1187,30.873444,-92.65877,1527013679,2018-05-22 18:27:59,1,1,0,0,1526987580.0,1527037500.0,0.28,0.0375,0.29,rain,92.12,63.45,67.63,0.72,1.89,0.27,9.0,9.22,673.0,1505.0,832.0,28.67,0,1,0
1190,36.66081,-81.23827,1533107177,2018-08-01 07:06:17,2,1,1,0,1533119520.0,1533169980.0,0.66,0.0925,0.87,rain,68.46,60.22,63.9,1.0,2.05,0.95,5.0,7.952,632.0,1473.0,841.0,8.239999999999995,0,1,0
1191,43.793438,-112.52776,1533716283,2018-08-08 08:18:03,2,1,1,0,1533731280.0,1533782760.0,0.91,0.0,0.0,None,94.18,53.85,31.25,0.24,6.87,0.0,9.0,1.938,748.0,1606.0,858.0,40.330000000000005,1,0,0
1193,43.275555,-112.483795,1548525318,2019-01-26 17:55:18,0,0,0,0,1548514380.0,1548549300.0,0.72,0.0,0.0,None,30.99,22.44,20.98,0.88,4.2,0.77,2.0,1.494,893.0,1475.0,582.0,8.549999999999997,1,0,0
1198,32.1078,-104.48259,1542242472,2018-11-15 00:41:12,3,1,1,1,1542202080.0,1542240000.0,0.24,0.0,0.0,None,58.2,38.23,19.37,0.36,5.92,0.0,4.0,9.997,808.0,1440.0,632.0,19.970000000000006,1,0,0
1199,41.58458,-89.988365,1534524501,2018-08-17 16:48:21,2,1,1,0,1534504320.0,1534553880.0,0.24,0.0052,0.37,rain,80.87,65.02,68.03,0.86,3.74,0.66,5.0,7.368,672.0,1498.0,826.0,15.850000000000009,0,1,0
1200,41.783287,-108.602715,1550665111,2019-02-20 12:18:31,0,0,0,0,1550671440.0,1550710500.0,0.56,0.0011,0.14,snow,18.42,1.02,1.29,0.76,11.34,0.53,3.0,2.051,844.0,1495.0,651.0,17.400000000000002,0,0,1
1201,32.739975,-115.80646,1537480907,2018-09-20 22:01:47,3,1,1,1,1537450320.0,1537494240.0,0.38,0.0,0.0,None,98.38,77.69,65.22,0.48,5.24,0.2,7.0,9.997,812.0,1544.0,732.0,20.689999999999998,1,0,0
1202,37.53214,-98.10617,1538308191,2018-09-30 11:49:51,3,1,1,1,1538310480.0,1538353140.0,0.7,0.0,0.0,None,84.62,59.9,66.48,0.78,11.26,0.73,6.0,9.726,748.0,1459.0,711.0,24.720000000000006,1,0,0
1205,32.846775,-83.523636,1525362609,2018-05-03 15:50:09,1,1,0,0,1525344360.0,1525393080.0,0.63,0.0,0.0,None,85.59,56.53,55.02,0.66,2.51,0.0,11.0,2.847,646.0,1458.0,812.0,29.060000000000002,1,0,0
1206,31.642826,-106.74911,1524977400,2018-04-29 04:50:00,1,1,0,0,1524918300.0,1524966360.0,0.47,0.0026,0.2,rain,85.94,60.58,30.3,0.23,5.34,0.12,11.0,9.925,745.0,1546.0,801.0,25.36,0,1,0
1207,38.829506,-110.71743,1544111942,2018-12-06 15:59:02,0,0,0,0,1544106540.0,1544140920.0,0.99,0.0151,0.5,snow,32.89,18.83,16.29,0.72,2.84,0.73,2.0,9.883,869.0,1442.0,573.0,14.060000000000002,0,0,1
1208,43.356117,-95.68257,1554110467,2019-04-01 09:21:07,1,1,0,0,1554120360.0,1554166200.0,0.9,0.1363,0.87,snow,39.71,23.56,30.76,0.9,7.14,0.77,4.0,2.645,726.0,1490.0,764.0,16.150000000000002,0,0,1
1209,43.912308,-97.28156,1532225131,2018-07-22 02:05:31,2,1,1,0,1532171280.0,1532225160.0,0.32,0.0,0.0,None,76.12,60.52,64.52,0.93,6.82,0.46,7.0,9.024,668.0,1566.0,898.0,15.600000000000001,1,0,0
1210,42.564354,-111.227104,1545809913,2018-12-26 07:38:33,0,0,0,0,1545836100.0,1545868740.0,0.67,0.0,0.0,None,18.83,-0.35,11.27,0.94,6.58,0.87,1.0,5.369,895.0,1439.0,544.0,19.18,1,0,0
1212,33.727512,-105.341286,1522393569,2018-03-30 07:06:09,1,1,0,0,1522414320.0,1522459260.0,0.49,0.0036,0.23,rain,67.76,45.75,19.51,0.3,6.21,0.0,9.0,9.997,772.0,1521.0,749.0,22.010000000000005,0,1,0
1213,36.349304,-112.18575,1544140873,2018-12-07 00:01:13,0,0,0,0,1544106480.0,1544141700.0,0.99,0.0116,0.4,snow,31.19,27.98,26.25,0.91,3.71,0.95,2.0,9.545,868.0,1455.0,587.0,3.210000000000001,0,0,1
1215,45.425514,-85.88946,1527787808,2018-05-31 17:30:08,1,1,0,0,1527760800.0,1527816300.0,0.57,0.1,1.0,rain,71.94,45.73,62.33,0.9,4.59,0.96,4.0,3.767,600.0,1525.0,925.0,26.21,0,1,0
